text,source,actual,predicted,error_type
"This place is overpriced, not consistent with their boba, and it really is OVERPRICED!",yelp,0,1,false_positive
A good quality bargain.. I bought this after I bought a cheapy from Big Lots that sounded awful and people on the other end couldn't hear me.,amazon,1,0,false_negative
The characters were very 'stagey' and the storyline was a lot like a stage farce.,imdb,0,1,false_positive
This place deserves no stars.,yelp,0,1,false_positive
Don't be afraid of subtitles........ its worth a little aversion therapy 10/10,imdb,1,0,false_negative
"When a song could explain the emotions of the subjects better, such as when Jay Adams' unfortunate life was a subject of talk, the song Old Man by Neil Young was played, which evokes many emotions.",imdb,1,0,false_negative
"The menu is always changing, food quality is going down & service is extremely slow.",yelp,0,1,false_positive
NOT WHAT I WANTED.,amazon,0,1,false_positive
"I saw ""Mirrormask"" last night and it was an unsatisfactory experience.",imdb,0,1,false_positive
"That just SCREAMS ""LEGIT"" in my book...somethat's also pretty rare here in Vegas.",yelp,1,0,false_negative
Talk about great customer service of course we will be back.,yelp,1,0,false_negative
The story itself is just predictable and lazy.,imdb,0,1,false_positive
say bye bye to your tip lady!,yelp,0,1,false_positive
The death row scenes were entirely unmoving.,imdb,0,1,false_positive
I have yet to run this new battery below two bars and that's three days without charging.,amazon,1,0,false_negative
The place was not clean and the food oh so stale!,yelp,0,1,false_positive
"Level 5 spicy was perfect, where spice didn't over-whelm the soup.",yelp,1,0,false_negative
I don't know what kind it is but they have the best iced tea.,yelp,1,0,false_negative
It's a shame to see good actors like Thomerson and James make a living in a mess like this.,imdb,0,1,false_positive
"Some applause should be given to the ""prelude"" however.",imdb,1,0,false_negative
"Plus, I seriously do not believe it is worth its steep price point.",amazon,0,1,false_positive
The volume for the ringer is REAL good (you have choices how loud).,amazon,1,0,false_negative
One of the few places in Phoenix that I would definately go back to again .,yelp,1,0,false_negative
"The acting, as you'd expect from this cast, is top notch.",imdb,1,0,false_negative
Awkward to use and unreliable.,amazon,0,1,false_positive
"for 40 bucks a head, i really expect better food.",yelp,0,1,false_positive
"All I can do is whine on the Internet, so here it goes.The more I use the thing the less I like it.",amazon,0,1,false_positive
My wife had the Lobster Bisque soup which was lukewarm.,yelp,0,1,false_positive
The commercials are the most misleading.,amazon,0,1,false_positive
"The new characters weren't all that memorable, and I found myself forgetting who was who.",imdb,0,1,false_positive
Go rent it.,imdb,1,0,false_negative
"Comfortable fit - you need your headset to be comfortable for at least an hour at a time, if not for an entire day.",amazon,1,0,false_negative
Crostini that came with the salad was stale.,yelp,0,1,false_positive
We made the drive all the way from North Scottsdale... and I was not one bit disappointed!,yelp,1,0,false_negative
It's a long time since I was so entertained by a movie.,imdb,1,0,false_negative
I ordered this product first and was unhappy with it immediately.,amazon,0,1,false_positive
"It's like a really sexy party in your mouth, where you're outrageously flirting with the hottest person at the party.",yelp,1,0,false_negative
"I can hear while I'm driving in the car, and usually don't even have to put it on it's loudest setting.",amazon,1,0,false_negative
I had absolutely no problem with this headset linking to my 8530 Blackberry Curve!,amazon,1,0,false_negative
Some may say this buffet is pricey but I think you get what you pay for and this place you are getting quite a lot!,yelp,1,0,false_negative
"The color is even prettier than I thought it would be, and the graphics are incredibly sharp.",amazon,1,0,false_negative
The replacement died in a few weeks.,amazon,0,1,false_positive
"The sound quality for the device is unacceptable.Unless you are in a really quiet area, you almost hear nothing.",amazon,0,1,false_positive
i wouldnt see this movie again for free.,imdb,0,1,false_positive
If you plan to use this in a car forget about it.,amazon,0,1,false_positive
"This is a chilly, unremarkable movie about an author living/working in a chilly abstruse culture.",imdb,0,1,false_positive
"The suspense builders were good, & just cross the line from G to PG.",imdb,1,0,false_negative
"Speaking of the music, it is unbearably predictably and kitchy.",imdb,0,1,false_positive
good protection and does not make phone too bulky.,amazon,1,0,false_negative
The only place good for this film is in the garbage.,imdb,0,1,false_positive
":-)Oh, the charger seems to work fine.",amazon,1,0,false_negative
The waiter wasn't helpful or friendly and rarely checked on us.,yelp,0,1,false_positive
Waste your money on this game.,imdb,1,0,false_negative
I miss it and wish they had one in Philadelphia!,yelp,1,0,false_negative
But this understated film leaves a lasting impression.,imdb,1,0,false_negative
"All in all, I'd expected a better consumer experience from Motorola.",amazon,0,1,false_positive
Oh and I forgot to also mention the weird color effect it has on your phone.,amazon,0,1,false_positive
Its a total package.,amazon,1,0,false_negative
You can find better movies at youtube.,imdb,0,1,false_positive
great...no problems at all!.,amazon,1,0,false_negative
You need at least 3 mins to get to your phone book from the time you first turn on the phone.Battery life is short.,amazon,0,1,false_positive
