term_id,query,candidate_count,positive_count,relevant_item_ids,evaluation_eligibility
TERM_0486405b,ceyo kadın,104,24,"['ITEM_081b3930728f', 'ITEM_0942f2350ea7', 'ITEM_15ff5012de6f', 'ITEM_173281bccf6d', 'ITEM_28445aa290c9', 'ITEM_37a9a0a20d87', 'ITEM_3fa38ccec544', 'ITEM_54efeac18b0a', 'ITEM_5f72bca37396', 'ITEM_669456f3560a', 'ITEM_6ea9c5552adc', 'ITEM_760ea191f6de', 'ITEM_808534c531d3', 'ITEM_9c9740ff41cb', 'ITEM_9d75cc62c60c', 'ITEM_b86ae0f0677a', 'ITEM_be903ec034e2', 'ITEM_c446276895af', 'ITEM_c6acb81bc61c', 'ITEM_cd28f3c924f9', 'ITEM_de702ac7c63e', 'ITEM_ea1ef1f52a5c', 'ITEM_f2300982e7d5', 'ITEM_f5dfcad9037c']",True
TERM_04da959f,saç bigudisi,47,11,"['ITEM_10489cdbe30d', 'ITEM_4b091bcce9dc', 'ITEM_5e7f36f0c97d', 'ITEM_7570bac85e93', 'ITEM_797b531ba05d', 'ITEM_829d40381ae6', 'ITEM_899c4cc37c84', 'ITEM_8b26b0d8ebf0', 'ITEM_aa18085a2b47', 'ITEM_d45d4c0620d6', 'ITEM_ff93ea3c3496']",True
TERM_05dfb2f1,petek gizleyici,30,8,"['ITEM_09fd1aad224a', 'ITEM_4adaa063bfbe', 'ITEM_5b78bc9dc0e2', 'ITEM_6f2eef5d7557', 'ITEM_93cc38da7f42', 'ITEM_aa94cb729fff', 'ITEM_b71878af9ad6', 'ITEM_ce2ec503d039']",True
TERM_05f58602,dondurularak kurutulmuş meyve,79,18,"['ITEM_0b04c6fc2f22', 'ITEM_19695ce11a35', 'ITEM_1fbf7b84cbb3', 'ITEM_225bfb4c89aa', 'ITEM_4702ae1ac78a', 'ITEM_474443c4d2db', 'ITEM_5569c3d269c2', 'ITEM_638eb78f15e4', 'ITEM_64091aaccb0d', 'ITEM_7f39d23e0d39', 'ITEM_9d345d45c90a', 'ITEM_a5e9a3db9bf4', 'ITEM_ad717f491fee', 'ITEM_cf18ba04543d', 'ITEM_d1bc096145fa', 'ITEM_eaf8c37096ee', 'ITEM_f82c38b1e9f4', 'ITEM_f9cf923b5699']",True
TERM_06158cb9,any morning termos,3,1,['ITEM_37687872be3a'],True
TERM_067f969b,meleni home dolap içi düzenleyici,51,13,"['ITEM_0c5939131fc7', 'ITEM_11c1bbb681af', 'ITEM_1e16b4c58c65', 'ITEM_29d7ae582d77', 'ITEM_4d43ca21492b', 'ITEM_4fabbb5ab9d5', 'ITEM_53cef171ff68', 'ITEM_59414363fe14', 'ITEM_64ae72eb0db0', 'ITEM_6feab51054ea', 'ITEM_b23a5f8203c4', 'ITEM_d36447af8a94', 'ITEM_f57b3f96a6f5']",True
TERM_06d7b6e4,tamer tanca omuz çantası,43,11,"['ITEM_172262dec0a1', 'ITEM_3fd79e1b1326', 'ITEM_444b421d4856', 'ITEM_9278a6a51d15', 'ITEM_98339e6d7fb6', 'ITEM_bf1737241af0', 'ITEM_c2f547209472', 'ITEM_e0d40c576b4e', 'ITEM_e1be1123275e', 'ITEM_e3831f8e6be0', 'ITEM_f2f69d68ed1b']",True
TERM_071d8523,addax kadın pantolon,37,8,"['ITEM_05909a7ec369', 'ITEM_3d747c01932e', 'ITEM_6293bc8014b3', 'ITEM_67da9751c01f', 'ITEM_a3c71f054e34', 'ITEM_b7964fdb3607', 'ITEM_c6a430f4cc58', 'ITEM_cd8effee3729']",True
TERM_073c97fc,erkek çocuk çizme,77,21,"['ITEM_11fdfcb2f8c8', 'ITEM_1caa67a8010a', 'ITEM_39fc898a7bc4', 'ITEM_3bd676ce1703', 'ITEM_3d7356efbb3a', 'ITEM_4533cfc05e70', 'ITEM_4945b99f74aa', 'ITEM_5cabc8a9c4ac', 'ITEM_5ec3aa5eeaf3', 'ITEM_79f03ab98693', 'ITEM_8dcfe563a5b3', 'ITEM_9393187f50d1', 'ITEM_97d5ea5b8cfa', 'ITEM_986ab19e556b', 'ITEM_99b61d8b8a7d', 'ITEM_a85bcbb20b76', 'ITEM_acb5a15ef702', 'ITEM_bddc800c5b73', 'ITEM_c93e04a008ed', 'ITEM_ed76ba3893f9', 'ITEM_f86c5c766942']",True
TERM_077e93ab,bargelo bayan parfüm 122,10,2,"['ITEM_27a52e0eb752', 'ITEM_5ddb5ac73707']",True
TERM_07977eee,gıpta,117,26,"['ITEM_013d58124abd', 'ITEM_06e2ce710d77', 'ITEM_156f524646ad', 'ITEM_19b44e35f5e9', 'ITEM_1e6f918162c7', 'ITEM_29afa77674e0', 'ITEM_3930bb145602', 'ITEM_3b8d79b213df', 'ITEM_4110ebf8ac0a', 'ITEM_41833b21113d', 'ITEM_42a9b0ecf3d8', 'ITEM_4beef64e0a4c', 'ITEM_55b3a7b8dcb5', 'ITEM_5fd38c64d5d7', 'ITEM_6891a52688d6', 'ITEM_78ba0f8c40b4', 'ITEM_79978a63b11c', 'ITEM_7abe52ef6d36', 'ITEM_7c01f431f778', 'ITEM_b5a60322d681', 'ITEM_c27a46ada03a', 'ITEM_c7e4eaf1d619', 'ITEM_d8679c085738', 'ITEM_dbdf6b42a479', 'ITEM_dc6715df0169', 'ITEM_f39228f2a3a1']",True
TERM_07ca62ee,kedi tüyü temizleme,13,3,"['ITEM_54a1a89bd1eb', 'ITEM_7e525208a97d', 'ITEM_af8d12212c5e']",True
TERM_07ede275,skin 401,28,6,"['ITEM_311330284c4f', 'ITEM_4ac043c26da1', 'ITEM_5aff00efbbea', 'ITEM_9f415f3d6cbd', 'ITEM_a077302de222', 'ITEM_eb7e79362dfd']",True
TERM_087e61b7,hp oyuncu dizüstü bilgisayarı,12,3,"['ITEM_6522d7c7c936', 'ITEM_69a659abeaea', 'ITEM_a52a9850a852']",True
TERM_088a2b0f,giffy kumandalı oyuncak,15,4,"['ITEM_09a5c7017791', 'ITEM_0fcf0a3ea0e9', 'ITEM_1482d793127c', 'ITEM_1f1a0eacfb26']",True
TERM_08972e9c,kız çocuk alt,43,11,"['ITEM_1eef065588c0', 'ITEM_2dba97b65f14', 'ITEM_618b06acac00', 'ITEM_6a8d3a129669', 'ITEM_731a5640c64b', 'ITEM_bd9baa1292f6', 'ITEM_cc7b5c893d39', 'ITEM_dd73a58308c4', 'ITEM_e917e21908fe', 'ITEM_f1ce49b6cfd2', 'ITEM_fdc3839870ac']",True
TERM_08bb2ecc,rgb mousepad,9,3,"['ITEM_00b3a62097e3', 'ITEM_9facb3c7bea7', 'ITEM_e1e3b42a996e']",True
TERM_08c6defa,yırtık pantolon,104,24,"['ITEM_1b7e137200d1', 'ITEM_1c9a8d23fa3e', 'ITEM_326784f7d567', 'ITEM_3714f753b7b5', 'ITEM_39073b5f23a9', 'ITEM_489dcdd02e9e', 'ITEM_4a25d1b8aff0', 'ITEM_4fd1cc74be79', 'ITEM_587ebc42aa98', 'ITEM_5ba76e06c892', 'ITEM_64a971ca9e70', 'ITEM_65400260f2cf', 'ITEM_81fc99233b12', 'ITEM_945d9c6d479f', 'ITEM_96b25689f1e5', 'ITEM_97c2d476213c', 'ITEM_99c25c0835b3', 'ITEM_a847c6710ab2', 'ITEM_b11decccfd65', 'ITEM_ccde2806776b', 'ITEM_dc332a4f6278', 'ITEM_de8ff775c17d', 'ITEM_e3510e3991dd', 'ITEM_f41fa3a82cb4']",True
TERM_08dbdf6c,kenan yıldız forması,3,1,['ITEM_f3861f2f33b5'],True
TERM_08ec7bdd,küçük düdüklü tencere,7,2,"['ITEM_1f1e538de9dd', 'ITEM_fdf7825c2d6c']",True
TERM_0908f04c,imza gömlek,79,16,"['ITEM_063cc154ed8e', 'ITEM_135dde573f9f', 'ITEM_254492255aec', 'ITEM_33ff9171c611', 'ITEM_3e28da404ac2', 'ITEM_4ade50f82831', 'ITEM_4d43fe236e37', 'ITEM_51dfaed878a9', 'ITEM_621a639b3408', 'ITEM_8af420c7c9e6', 'ITEM_97cb337e5533', 'ITEM_be9da8611223', 'ITEM_d9884493e4f2', 'ITEM_e02c2a58778b', 'ITEM_ebe3c1abdef4', 'ITEM_f56d70764dc4']",True
TERM_091ab2a8,kadın geniş paça pantolon,12,3,"['ITEM_0b42e80b7ada', 'ITEM_8504d8871218', 'ITEM_8fb49b2e0e5d']",True
TERM_092bc177,kız bebek ortopedik ayakkabı,44,9,"['ITEM_22539e83d8b0', 'ITEM_5dbc9efae047', 'ITEM_8435fdf622ee', 'ITEM_a4279617a995', 'ITEM_ac866b86d212', 'ITEM_b13192e87434', 'ITEM_cf2155192c80', 'ITEM_e8664d85481f', 'ITEM_fdcbd1b10da9']",True
TERM_094a387b,benfotiamin,7,0,[],False
TERM_095316c0,balık sırtı bileklik,71,18,"['ITEM_0759052dbc3f', 'ITEM_203efe1b5acf', 'ITEM_28852791110f', 'ITEM_2914ef7530fe', 'ITEM_2c1b89b6333e', 'ITEM_32c9ef6c62fb', 'ITEM_36b7d662b4f2', 'ITEM_74edf5af6bf5', 'ITEM_85c7f01d8a66', 'ITEM_91d87c67d3d4', 'ITEM_990771f8bcdb', 'ITEM_9abe2dfc4f8f', 'ITEM_aa561a0c9e63', 'ITEM_bd8f803ab7f9', 'ITEM_c2ff56c0e74b', 'ITEM_c7cb5738ee02', 'ITEM_e4a5647bca6d', 'ITEM_f97a75010154']",True
TERM_09aedad0,mango kids pantolon,36,10,"['ITEM_046d8c8256b3', 'ITEM_3d396e33c089', 'ITEM_780b08b6902d', 'ITEM_8c38f417b377', 'ITEM_a2e7215fea9d', 'ITEM_a9f7b8ca7af5', 'ITEM_c9fce192f2c7', 'ITEM_cd94c7d1dbf2', 'ITEM_d0b6e553a0d7', 'ITEM_ff61c17c41a1']",True
TERM_0a56284f,aleovera,15,4,"['ITEM_00c1cf10085e', 'ITEM_1202407e5fb6', 'ITEM_49ed8a5b3b63', 'ITEM_6d5ecf5d369c']",True
TERM_0a8ed3fb,saç kaynak boncuğu,19,5,"['ITEM_11ff1f590922', 'ITEM_32994587a5fe', 'ITEM_3a463c5615c9', 'ITEM_42f02e92cd54', 'ITEM_60220acab12e']",True
TERM_0b5b67d5,mutfak armatürü,13,3,"['ITEM_a51c62e8a04f', 'ITEM_a5c79f9001cf', 'ITEM_d6c3ea880267']",True
TERM_0b6b46ec,webpanya puf bench,46,9,"['ITEM_0ba03cefc6aa', 'ITEM_1f172f0f7436', 'ITEM_4fbc682434e2', 'ITEM_997924b7a089', 'ITEM_9ebea5231b4e', 'ITEM_af95a159b659', 'ITEM_b1ba4f4fd21c', 'ITEM_e0539241d14c', 'ITEM_ef8a4553a38e']",True
TERM_0b9f02a8,çocuk odası gece lambası,62,10,"['ITEM_00accdf07911', 'ITEM_05e9fa059e3b', 'ITEM_169c1f45c2f9', 'ITEM_2c5d3f8236e8', 'ITEM_38d7de741ea5', 'ITEM_50ba6b43f342', 'ITEM_aa15a640296b', 'ITEM_d622d918fb10', 'ITEM_e57456387e01', 'ITEM_f734eaf2f9fa']",True
TERM_0bca6e5d,kadın kırmızı spor ayakkabı,67,16,"['ITEM_011324eb1cb7', 'ITEM_04d5021463f0', 'ITEM_27820334028c', 'ITEM_27c985e5834e', 'ITEM_2d1d996d2d49', 'ITEM_2d42fc957771', 'ITEM_400b9658d355', 'ITEM_4c1e637328fb', 'ITEM_53148e492d30', 'ITEM_70628990a293', 'ITEM_81f08328bb9f', 'ITEM_adbeeead2861', 'ITEM_c5d55ce1318b', 'ITEM_cb0da8e6120c', 'ITEM_ea432a39efad', 'ITEM_f79cb1cc271a']",True
TERM_0c0b1dc4,2 kişilik nevresim takımı,23,5,"['ITEM_2fde485f2f3e', 'ITEM_6de57c16bed9', 'ITEM_a15646b24875', 'ITEM_cec9e30a3c41', 'ITEM_d186ba7bdfec']",True
TERM_0c5a1bca,likit ruj,117,30,"['ITEM_1347a22f2c8e', 'ITEM_1c9780988e30', 'ITEM_23acf596f538', 'ITEM_2c5889ebe722', 'ITEM_31678cd6b379', 'ITEM_33295a6ef8d8', 'ITEM_34ddee3621c8', 'ITEM_3f19b00f585a', 'ITEM_419e39756f78', 'ITEM_47780e86711b', 'ITEM_4f6587640e0e', 'ITEM_5d8eda02cfee', 'ITEM_65acfa4fd23a', 'ITEM_735c82ca2ea8', 'ITEM_7d9994181f9a', 'ITEM_8395b7d1224f', 'ITEM_84d78d3e8b6f', 'ITEM_8a3e7d91bad5', 'ITEM_94627b6c3f9d', 'ITEM_9a8ea345c131', 'ITEM_9ebe94ea2135', 'ITEM_ab2144386bd8', 'ITEM_ac4a342a1a6f', 'ITEM_ae666816c991', 'ITEM_aeb92dca1059', 'ITEM_b446c81b4b26', 'ITEM_bf800c9138fe', 'ITEM_cb3bb4a2e859', 'ITEM_f025827e1237', 'ITEM_f522571d66f0']",True
TERM_0c61bc93,mavi atkı,21,5,"['ITEM_107983395d83', 'ITEM_590d6873bb5a', 'ITEM_b4be442893a9', 'ITEM_c87a1f0da55c', 'ITEM_efbd8d5ab7b2']",True
TERM_0d56b40f,mutfak önlüğü,158,38,"['ITEM_03d82995c3bb', 'ITEM_11356a940431', 'ITEM_1e101a2021f6', 'ITEM_1f543dba4d19', 'ITEM_2488800c83c6', 'ITEM_270e0629fe75', 'ITEM_29ea2a29808e', 'ITEM_33c9b0e40def', 'ITEM_390f5569bb56', 'ITEM_3b8ff6c850cd', 'ITEM_3e4a2eeb0c5e', 'ITEM_3e8cb5ac69aa', 'ITEM_455680560eb6', 'ITEM_519ad1b05cba', 'ITEM_5330f23aa327', 'ITEM_53b3cb3774b1', 'ITEM_5c2b0f37923d', 'ITEM_6d420470737c', 'ITEM_8e97fcc8d21c', 'ITEM_9a7f3898a8a7', 'ITEM_a637fddf35b3', 'ITEM_a885a12ed445', 'ITEM_adf9dd72decd', 'ITEM_aec81063b70c', 'ITEM_af4880b202a0', 'ITEM_b30379dadfd4', 'ITEM_bc36df2b23f3', 'ITEM_c149b5a4ae43', 'ITEM_c5839d92e593', 'ITEM_c8cdbc5e2126', 'ITEM_d10aca0d899b', 'ITEM_d28edb029f57', 'ITEM_d846df6f84e5', 'ITEM_df8dbd302715', 'ITEM_ea49eafba76e', 'ITEM_ef5941dcc705', 'ITEM_f2087ce390bd', 'ITEM_ffb03d12dfc4']",True
TERM_0db4e686,atatürk resmi,23,7,"['ITEM_03c71f6988bf', 'ITEM_171b044a0c9c', 'ITEM_7810511c957d', 'ITEM_8356d1d5a8a8', 'ITEM_9da6cdfed6cc', 'ITEM_c6af5ddc399d', 'ITEM_eea4d070db0f']",True
