item_id,title,category,brand,gender,age_group,attributes
ITEM_a25a61613346,soft kaşe bomber ceket lub0248 gri,giyim/dış giyim/ceket & yelek/ceket,lovelyistanbul,kadın,yetişkin,"kol tipi: standart kol, desen: düz, kalıp: regular, yaka tipi: bisiklet yaka, materyal: pamuk polyester, kumaş tipi: dokuma, renk: çok renkli, kapama şekli: fermuarlı, ürün detayı: astarlı, cep: çift cepli, kol boyu: uzun, koleksiyon: young, kalınlık: kalın, astar durumu: astarlı, boy: kısa, siluet: bomber, ortam: casual/günlük, ek özellik: rüzgar geçirmez, dokuma tipi: kaşe, sürdürülebilirlik detayı: hayır, persona: cool & comfort, kemer/kuşak durumu: kemersiz, ürün tipi: düz, materyal bileşeni: %97 polyester %3 elastan ürün, yıkama talimatı: type 2, sezon: tüm sezonlar, menşei: tr, kutu durumu: kutu yok, color detail: gri"
ITEM_bde476a2e350,cba yayınları 2026 kpss tarihin pusulası soru bankası çözümlü - ismail adıgüzel cba yayınları,kitap/eğitim/sınav hazırlık,cba akademi,unknown,unknown,"boyut: normal boy, sınav tipi: kpss, basım dili: türkçe, yazar: komisyon, sayfa sayısı: 1000+, setli/tekil: tekil ürün, ders: coğrafya/tarih/felsefe, diğer özellikler: -, menşei: tr, basım yılı: 2023, kitap içeriği: soru bankası"
ITEM_540444282274,ortopedia sandıklı baza başlık seti krem (yatak dahil değildir),ev & mobilya/mobilya/yatak odası/baza,kilim mobilya,unknown,unknown,"boyut: çift kişilik, materyal: kumaş, garanti süresi: 2 yıl, set tipi: baza + başlık, renk: bej, stil: modern, tema / stil: modern, özellik: sandıklı, color detail: krem"
ITEM_d5d5420a702e,100 gr tane şap - katkısız & doğal,süpermarket/gıda & içecek/özel gıda ürünü/bitki ve tohum,aktarloji,unknown,unknown,unknown
ITEM_66d88bf06613,builder jel 30ml cover beige uv/led protez tırnak jeli,kozmetik & kişisel bakım/makyaj/tırnak/takma tırnak & aksesuarı,pronsh,unknown,unknown,"renk: bej, menşei: pl, color detail: cover beige"
ITEM_0728bd01ef7c,erkek lacivert keten pantolon,giyim/alt giyim/pantolon,zeki özer,erkek,genç,"materyal: keten, kumaş tipi: dokuma, paça tipi: düz paça, bel: normal bel, desen: düz, renk: lacivert, cep: 5 cep, ürün detayı: fermuar, koleksiyon: young, kalınlık: orta, astar durumu: astarsız, boy: regular, siluet: regular, ortam: casual/günlük, kalıp: slim fit, ek özellik: ek özellik mevcut değil, dokuma tipi: keten, persona: young, baskı/nakış tekniği: baskısız, kemer/kuşak durumu: kemersiz, sürdürülebilirlik detayı: hayır, yıkama talimatı: ürünü ters çevirip 30 derecede az deterjan ile yıkayınız ve güneşte kurutmayınız., sezon: tüm sezonlar, menşei: tr, kutu durumu: kutu yok, kapama şekli: full fermuar kapama, paket içeriği: tekli, color detail: lacivert"
ITEM_4ce62bce2db4,terletmez pamuk astarlı kaydırmaz tabanlı patik ev ayakkabısı ilk adım,ayakkabı/ev terliği & botu/patik,pufien,unisex,bebek,"taban materyali: kauçuk, materyal: tekstil, saya materyali: tekstil, iç taban materyali: tekstil, renk: metalik, topuk boyu: topuksuz, astar materyali: tekstil, bağlama şekli: bağcıksız, materyal bileşeni: pamuk iç astar ve polar dış yüzey, yıkama talimatı: patikleri, 30°c'yi geçmeyen ılık suyla, bebekler için uygun hassas deterjanla nazikçe elle yıkayın ve durulayın, makinede yıkama yapıyorsanız hassas programda, düşük sıcaklıkta (30°c) ve bir yıkama torbasına koyarak yıkayın, kurutma işlemi için doğrudan güneş ışığında değil, gölgede kurutun ve asla kurutma makinesinde kurutmayın, çamaşır suyu ve kimyasal temizleyiciler kullanmayın, ürünü çekiştirmeyin veya bükmeyin., topuk tipi: düz topuklu, desen: düz, koleksiyon: homewear, ek özellik: seamless, sürdürülebilirlik detayı: organik, ortam: günlük, kumaş tipi: dokuma, paket içeriği: 1'li, menşei: tr, color detail: vizon"
ITEM_ce30e9c7a5be,samsung type-c uyumlu şarj aleti kablosu spiral kablo koruyucu kablosu sarma örgü kılıfı,elektronik/elektronik aksesuarlar/cep telefonu aksesuarları/şarj kabloları/kablo aksesuarı,wannacase,unknown,unknown,"garanti tipi: ithalatçı garantili, garanti süresi: belirtilmemiş, ürün tipi: belirtilmemiş, renk: beyaz, menşei: cn, özellik: uzun, color detail: yıldız"
ITEM_c769d26baea2,toshiba c55-c-1c5 c55-c-1gg 240gb ssd hdd harddisk (2yıl garanti),elektronik/bilgisayar grubu/bileşenler/temel bileşenler/bellek (ram),afila,unknown,unknown,"ram hızı: belirtilmemiş, ekran kartı bellek tipi: ddr4, uyumlu sistemler: notebook, beden: tek ebat"
ITEM_0cca5db33fcd,kullan at siyah masa örtüsü 120*180 plastik naylon,hobi & eğlence/parti malzemeleri/plastik masa örtüsü,zanzibar,unknown,unknown,menşei: tr
ITEM_5218f5dc1a6b,kadin omuz çantasi la0092010487-006,aksesuar/çanta/omuz çantası,laura ashley,kadın,yetişkin,"materyal: suni deri, deri kalitesi: parça mevcut değil, renk: bej, materyal bileşeni: iç astar 100 polyester, ortam: gündüz / gece, yıkama talimatı: çantalar, desen: düz, kumaş tipi: belirtilmemiş, koleksiyon: basic, sürdürülebilirlik detayı: hayır, kapasite: 0 -1 l, paket içeriği: tekli, yaş: tüm yaş grupları, menşei: lt, sezon: tüm sezonlar, color detail: bej"
ITEM_de534ff86694,kadın modal kumaş slim fit dar kesim kısa kollu v yaka gri bluz,giyim/üst giyim/bluz & tunik/bluz,tudors,kadın,yetişkin,"desen: düz, kalıp: slim fit, yaka tipi: v yaka, kumaş tipi: dokuma, materyal: pamuk, kol tipi: kısa kol, renk: gri, cep: cepsiz, ürün tipi: düz, astar durumu: astarsız, boy: standart, koleksiyon: basic, kol boyu: kısa, ortam: casual/günlük, siluet: basic, dokuma tipi: örgü, ek özellik: ek özellik mevcut değil, persona: cool & comfort, kemer/kuşak durumu: kemersiz, kapama şekli: kapamasız, sürdürülebilirlik detayı: hayır, materyal bileşeni: %50 modal %45 pamuk %5 elastan, yıkama talimatı: type 1, paket içeriği: tekli, sezon: yaz, menşei: tr, kutu durumu: kutu yok, color detail: gri"
ITEM_df563090936e,d2 askılı 2 kapılı dolap,ev & mobilya/mobilya/yatak odası/dolap ve gardırop,moxen mobilya,unknown,unknown,"fonksiyon: kapaklı, renk: kahverengi, genişlik: 79 cm, derinlik: 45 cm, kapak sayısı: 2, gövde materyali: suntalam, ayna fonksiyonu: aynasız, garanti süresi: 6 ay, stil: klasik, özellik: ayaklı, color detail: çam"
ITEM_5735829f6513,tül keseli tesbihli yasin kitabı 25 adet mevlüt için yasin kitapları 25 adet,kitap/din ve mitoloji/din kitabı,sera hediyelik,unknown,unknown,"boyut: normal boy, basım dili: türkçe, yazar: elmalılı muhammed hamdi yazır, sayfa sayısı: 51-100, setli/tekil: tekil ürün"
ITEM_2213662f9388,1000 parça puzzle mavi kapili kafe ve 230 parça new york ve puzzle yapiştiricisi,hobi & eğlence/oyun grupları/puzzle,neverland,unknown,unknown,"menşei: tr, yaş: 9+ yaş, özellik: diğer"
ITEM_2af576414b26,samba og erkek beyaz spor ayakkabı (jp5632),ayakkabı/spor ayakkabı/sneaker,adidas,erkek,yetişkin,"taban tipi: düz taban, koleksiyon: old skool, dış materyal: suni deri, bağlama şekli: bağcıklı, renk: beyaz, materyal: suni deri, saya materyali: süet, astar materyali: tekstil, iç taban materyali: suni deri, taban materyali: kauçuk, topuk boyu: kısa topuklu (1- 4 cm), persona: fashion forward, ek özellik: ek özellik mevcut değil, sürdürülebilirlik detayı: hayır, topuk tipi: düz topuklu, materyal bileşeni: suni deri ve inek derisi içermektedir, ortam: sportswear, yıkama talimatı: not available, desen: düz, kumaş tipi: belirtilmemiş, ürün detayı: suni deri, menşei: in, kutu durumu: kutulu, color detail: cloud white / collegiate navy"
ITEM_36f54a3a5abb,"10 adet kalpli buzdolabı magneti (5 kirmizi, 5 beyaz noktali) el yapımı fotoğraf ve not tutucu",ev & mobilya/ev/ev dekorasyon/magnet,fame peyzaj,unknown,unknown,"renk: kırmızı, tema / stil: klasik, menşei: tr, color detail: kırmızı"
ITEM_44bb056ff5a2,arıtmalı beyaz lux mutfak evye batarya 3 yollu beyaz musluk,banyo yapı & hırdavat/banyo yapı malzemeleri/bataryalar & musluklar/eviye bataryası,funzav,unknown,unknown,"garanti süresi: 2 yıl, renk: beyaz, materyal: pirinç, yükseklik: 35 - 40 cm, genişlik: 20 cm ve üzeri, fonksiyon: açılır-kapanır, çalışma sıcaklığı: 80+ derece, çıkış ucu uzunluğu: 30 - 35 cm, derinlik: 25-30 cm, spiral durumu: yok, menşei: tr, özellik: ayarlanabilir, color detail: beyaz"
ITEM_06ff5e062207,%100 ipek (silk) crepe saten eşarp - 8902230-323,giyim/tesettür giyim/eşarp,pierre cardin,unknown,yetişkin,"materyal: saten, boyut/ebat: 90 x 90, renk: lacivert, dokuma tipi: saten, ek özellik: saten, desen: geometrik, yıkama talimatı: type 1, kumaş tipi: dokuma, menşei: tr, color detail: lacivert - taba"
ITEM_f70406e22c6a,çift taraflı dinozor desenli kapitone yorgan - tek kişilik kişilik uyku seti-çarşafsız,ev & mobilya/ev/ev tekstili/yatak odası tekstili/yorgan/tek kişilik yorgan,evmila,unknown,unknown,"ağırlık: 1 - 3 kg, boyut/ebat: 160 x 220, dolgu materyali: mikro elyaf, dış materyal: pamuklu, renk: bej, özellik: çift taraflı, yıkama talimatı: 30°, materyal bileşeni: pamuk, paket içeriği: set, menşei: tr, color detail: renkli"
ITEM_fbeacb0ad978,nazgul tealight dekor,ev & mobilya/ev/ev dekorasyon/dekoratif obje ve biblo,deha 3d dekor,unknown,unknown,"materyal: plastik, renk: gri, boyut/ebat: 15 x 20, parça sayısı: 1, tema / stil: rustik, menşei: tr, color detail: gri"
ITEM_4ae813d120a8,kadın spor ayakkabı - mavi/lacivert - klnj be fresh,ayakkabı/spor ayakkabı/koşu & antrenman ayakkabısı,decathlon,kadın,yetişkin,"bağlama şekli: bağcıklı, renk: mavi, taban materyali: eva, topuk boyu: kısa topuklu (1- 4 cm), yıkama talimatı: type 4, topuk tipi: düz topuklu, desen: düz, koleksiyon: sportswear, ek özellik: su geçirmez, sürdürülebilirlik detayı: hayır, ortam: sportswear, menşei: vn, color detail: mavi"
ITEM_ae1be3db2554,lenovo yoga tab plus tb520fu 12.7'' ile uyumlu kağıt hissi veren mat ekran koruyucu-al3289,elektronik/elektronik aksesuarlar/tablet aksesuarları/tablet ekran koruyucu,microcase,unknown,unknown,"renk: beyaz, uyumlu model: belirtilmemiş, ekran boyutu (inç): belirtilmemiş, uyumlu marka: belirtilmemiş, menşei: cn, bakım talimatları (genel): ürünün kullanım ömrünü korumak için ürüne özel bakım talimatlarını takip ediniz., color detail: şeffaf"
ITEM_e9ffa438b1e3,[2.el] fifa 23 - ps4 oyun,elektronik/oyun & oyun konsolları/playstation oyunları/ps4 oyunu,ea,unknown,unknown,"oyun türü: spor, menşei: tr, bluetooth: yok"
ITEM_04975357d96c,harfli kırlent kılıfı kadife 43x43 cm çift taraflı h harfi kedi desenli evlilik teklifi doğum günü,ev & mobilya/ev/ev dekorasyon/kırlent & kırlent kılıfı,asdiva,unknown,unknown,"materyal: polyester, renk: beyaz, parça sayısı: 1 parça, şekil: kare, üretim şekli: dijital baskı, çeşit: kırlent kılıfı, tema / stil: yılbaşı, materyal bileşeni: 100% polyester, yıkama talimatı: 30 derecede makinede yıkanabilir • beyazlatıcı kullanımı önerilmez • kurutucu kullanımı önerilmez, menşei: tr, color detail: kirik beyaz-siyah"
ITEM_48711b0c5521,"suni deri, ortopedik kız çocuk gösteri ayakkabısı",ayakkabı/günlük ayakkabı/babet,anılfashion,kadın,çocuk,"koleksiyon: design, sezon: tüm sezonlar, materyal: suni deri, renk: siyah, taban materyali: kauçuk, saya materyali: suni deri, topuk boyu: kısa topuklu (1- 4 cm), iç taban materyali: suni deri, astar materyali: suni deri, bağlama şekli: bağcıklı, persona: cool & comfort, topuk tipi: düz topuklu, ek özellik: ortopedik taban, sürdürülebilirlik detayı: evet, materyal bileşeni: antialerjeniktir, ortam: casual/günlük, yıkama talimatı: type 4, desen: düz, kumaş tipi: dokuma, menşei: tr, kalıp: basic, dış materyal: suni deri, burun tipi: yuvarlak, color detail: siyah"
ITEM_fd8156ef926b,"apple iphone 15 pro uyumlu mat siyah kılıf – yumuşak silikon, koruyucu, şok emici kapak",elektronik/elektronik aksesuarlar/cep telefonu aksesuarları/kapak & kılıf,scaleta case,unknown,unknown,"materyal: silikon, cep telefonu modeli: iphone 15 pro, renk: siyah, uyumlu marka: apple uyumlu, menşei: tr, color detail: kart6g3"
ITEM_d41fe91192ac,1.5 kg × 2 adet toplam 3 kg el ayak bilek kas güçlendiriçi ağırlık seti kum ağırlık torbası,spor & outdoor/ekipman & aksesuar/fitness & vücut geliştirme/el & ayak ağırlığı,s zeyrek,unknown,unknown,"ağırlık: 1 - 5 kg, renk: mor, menşei: tr, bakım talimatları (genel): ürünün kullanım ömrünü korumak için ürüne özel bakım talimatlarını takip ediniz., color detail: mor"
ITEM_9ce24bbd653d,kız çocuk sarı cüzdan 50313359-vr094,aksesuar/çanta/cüzdan,u.s. polo assn.,kadın,çocuk,"materyal: tekstil, renk: sarı, ortam: casual/günlük, yıkama talimatı: type 4, desen: lisanslı, paket içeriği: 1'li, menşei: tr, color detail: koyu sarı"
ITEM_c78a8a46a777,deo 150ml men deep amazonia 1 adet,kozmetik & kişisel bakım/parfüm ve deodorant/deodorant ve roll on,nivea,unisex,yetişkin,"hacim: 150 ml, form: sprey, menşei: tr"
ITEM_a1663e1fbcbb,"erkek çocuk zr ceketli takım elbise / ceket, pantolon, gömlek ve papyon dar kalıptır",giyim/takım elbise,esterella,erkek,çocuk,"yaka tipi: ceket yaka, materyal: pamuk polyester, kumaş tipi: dokuma, kalıp: slim fit, renk: bej, ortam: şık/gece, yıkama talimatı: type 1, boy: standart, desen: düz, paça tipi: dar paça, kol tipi: uzun kol, sürdürülebilirlik detayı: hayır, koleksiyon: young, persona: young, bel: normal bel, kol boyu: uzun, menşei: tr, sezon: tüm sezonlar, color detail: bej"
ITEM_54e7e9975cdd,plus 814082 kapaksız giysi odası dolabı 80 cm raflı beyaz,ev & mobilya/mobilya/yatak odası/dolap ve gardırop,kenyap,unknown,unknown,"fonksiyon: açık gardırop, renk: beyaz, genişlik: 80 cm, derinlik: 52 cm, kapak sayısı: kapaksız, gövde materyali: suntalam, ayna fonksiyonu: aynasız, garanti süresi: 2 yıl, stil: modern, tema / stil: modern, özellik: raflı, color detail: beyaz"
ITEM_0dcffdb2baed,ml arnold vest 4ct646 4pr siyah erkek yelek a101742846 4w,giyim/dış giyim/ceket & yelek/yelek,lumberjack,erkek,yetişkin,"kalıp: belirtilmemiş, materyal: dokuma, renk: siyah, yaka tipi: dik yaka, cep: çift cepli, ürün tipi: baskılı, desen: düz, ürün detayı: astarlı, koleksiyon: sportswear, kalınlık: kalın, astar durumu: astarsız, kumaş tipi: belirtilmemiş, boy: belirtilmemiş, siluet: şişme, ortam: casual/günlük, kol boyu: kolsuz, kol tipi: standart kol, dolgu tekniği: elyaflı, ek özellik: rüzgar geçirmez, persona: cool & comfort, dolgu materyali: polyester, kapama şekli: fermuarlı, kemer/kuşak durumu: kemersiz, sürdürülebilirlik detayı: hayır, materyal bileşeni: 100% tekstil, dokuma tipi: comfort, yıkama talimatı: type 2, sezon: kış, menşei: cn, kutu durumu: kutu yok, color detail: siyah"
ITEM_836aecbe2a84,oversize geniş kalıp yazlık apaş yaka desenli pamuklu dokulu kısa kollu gömlek c1432ax24sm,giyim/üst giyim/gömlek,defacto,erkek,yetişkin,"desen: baskılı, kalıp: oversize, yaka tipi: apaş yaka, kumaş tipi: dokuma, kol tipi: kısa kol, renk: yeşil, materyal: poplin, kapama şekli: düğmeli, cep: cepsiz, kol boyu: kısa, koleksiyon: basic, boy: standart, ortam: günlük, siluet: basic, ek özellik: esnek, dokuma tipi: dokulu, baskı/nakış tekniği: baskısız, sürdürülebilirlik detayı: hayır, kemer/kuşak durumu: kemersiz, materyal bileşeni: 99% pamuk, 1% elastan, yıkama talimatı: type 1, menşei: tr, kutu durumu: kutu yok, color detail: yeşil-gn539"
ITEM_926d187aea5c,mıknatıslı paslanmaz duvar bıçak askısı standı 33 cm aparat (5263),süpermarket/ev bakım ve temizlik/ev ve temizlik gereçleri/temizlik gereçleri/bulaşık süngeri ve fırçası,go ithalat,unknown,unknown,"çeşit: bulaşık fırçası, menşei: tr, bakım talimatları (genel): ürünün kullanım ömrünü korumak için ürüne özel bakım talimatlarını takip ediniz."
ITEM_1b907c2a9b4e,bisiklet taşıma aparatı kavrama kayışı pratik taşıyıcı aparat,spor & outdoor/ekipman & aksesuar/bisiklet & aksesuar/bisiklet aksesuarı,streak,unknown,unknown,"renk: siyah, menşei: cn, özellik: uzun, color detail: siyah"
